Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa04010:MAPK signaling pathway	10	9.615384615384617	1.7700590545264268E-4	ENSG00000175197, ENSG00000112715, ENSG00000138166, ENSG00000176697, ENSG00000034152, ENSG00000204388, ENSG00000116717, ENSG00000142627, ENSG00000099860, ENSG00000177606	58	294	8164	4.787708186722965	0.03067545637107094	0.03115303935966511	0.03115303935966511
KEGG_PATHWAY	hsa05134:Legionellosis	4	3.8461538461538463	0.007231570331517069	ENSG00000204388, ENSG00000185122, ENSG00000013441, ENSG00000101210	58	57	8164	9.877797943133697	0.721233481713299	0.5183236523081749	0.5183236523081749
KEGG_PATHWAY	hsa00970:Aminoacyl-tRNA biosynthesis	4	3.8461538461538463	0.010821334534496367	ENSG00000134684, ENSG00000140105, ENSG00000110619, ENSG00000031698	58	66	8164	8.530825496342738	0.8526485517750813	0.5183236523081749	0.5183236523081749
KEGG_PATHWAY	hsa04510:Focal adhesion	6	5.769230769230769	0.012783433259917237	ENSG00000112715, ENSG00000072110, ENSG00000130702, ENSG00000177606, ENSG00000159840, ENSG00000050820	58	201	8164	4.20174987133299	0.8961064663734357	0.5183236523081749	0.5183236523081749
KEGG_PATHWAY	hsa04210:Apoptosis	5	4.807692307692308	0.014725103758754967	ENSG00000175197, ENSG00000141682, ENSG00000116717, ENSG00000099860, ENSG00000177606	58	136	8164	5.1749492900608525	0.92653076935912	0.5183236523081749	0.5183236523081749
KEGG_PATHWAY	hsa05210:Colorectal cancer	4	3.8461538461538463	0.02194944835912763	ENSG00000141682, ENSG00000116717, ENSG00000099860, ENSG00000177606	58	86	8164	6.546912590216519	0.9798817955951987	0.5855728950978577	0.5855728950978577
KEGG_PATHWAY	hsa04710:Circadian rhythm	3	2.8846153846153846	0.02328983105502843	ENSG00000134107, ENSG00000179094, ENSG00000133794	58	34	8164	12.419878296146043	0.9841960790549809	0.5855728950978577	0.5855728950978577
KEGG_PATHWAY	hsa04141:Protein processing in endoplasmic reticulum	5	4.807692307692308	0.031071664443812975	ENSG00000175197, ENSG00000204388, ENSG00000090520, ENSG00000149428, ENSG00000087074	58	171	8164	4.115749142972374	0.9961333792382192	0.6835766177638855	0.6835766177638855
KEGG_PATHWAY	hsa05135:Yersinia infection	4	3.8461538461538463	0.07026975629843771	ENSG00000034152, ENSG00000177606, ENSG00000050820, ENSG00000175866	58	137	8164	4.109740750062925	0.9999973033491978	1.0	1.0
KEGG_PATHWAY	hsa05224:Breast cancer	4	3.8461538461538463	0.08287424626091561	ENSG00000116717, ENSG00000099860, ENSG00000177606, ENSG00000101384	58	147	8164	3.830166549378372	0.9999997559468231	1.0	1.0
KEGG_PATHWAY	hsa04115:p53 signaling pathway	3	2.8846153846153846	0.09193560496954269	ENSG00000141682, ENSG00000116717, ENSG00000099860	58	73	8164	5.784600850259801	0.9999999574861977	1.0	1.0
KEGG_PATHWAY	hsa04218:Cellular senescence	4	3.8461538461538463	0.09499516220684548	ENSG00000161011, ENSG00000034152, ENSG00000116717, ENSG00000099860	58	156	8164	3.609195402298851	0.9999999765275438	1.0	1.0
KEGG_PATHWAY	hsa05212:Pancreatic cancer	3	2.8846153846153846	0.09841195285710834	ENSG00000112715, ENSG00000116717, ENSG00000099860	58	76	8164	5.556261343012705	0.9999999879376038	1.0	1.0
